"","logFC","logCPM","PValue","FDR"
"AC211737.3_FG012",-1.34271348412673,3.74030455845083,0.000201098900751119,0.00462114961161929
"GRMZM2G340958",-1.18278477377044,2.68447786631812,0.000202107787503579,0.00463957477358369
"GRMZM2G138918",2.39012697431972,0.634326094541233,0.000202374102536894,0.00464030838212562
"GRMZM2G049538",1.70235231570082,4.30961248854501,0.000202553965530857,0.00464030838212562
"GRMZM2G023232",-0.693617967304508,5.38544645260648,0.000203318767441046,0.00465307148571669
"GRMZM2G140651",-1.58462296262671,2.42181756841076,0.000205785206283953,0.00470471178244077
"GRMZM2G129675",-0.780447607213684,4.73260441415511,0.00020685094221787,0.00472425622873739
"GRMZM2G050325",1.22319458784832,3.46584010139702,0.000207423440120375,0.00473250730743076
"GRMZM5G859195",0.912717012175594,6.3651656353622,0.000208208821238879,0.00473927839227876
"GRMZM2G097144",-0.839792297639226,3.39886105674878,0.00020826626115648,0.00473927839227876
"GRMZM2G079888",0.779584716173237,5.9960360675237,0.000208354796536245,0.00473927839227876
"GRMZM2G001755",0.714916105625983,6.46769075121457,0.000209581180427303,0.00476233909480093
"GRMZM2G065230",2.88056718605319,2.24604909468662,0.000209813452840394,0.00476278663717228
"GRMZM2G140614",1.03442243378414,7.18641385918896,0.000210625649474174,0.00477638428792396
"GRMZM2G007489",0.961048123214961,4.23299728107604,0.000210875477955206,0.00477721444245337
"GRMZM2G075148",2.42948371908074,1.65098313300783,0.000213206042450351,0.00482513270818194
"GRMZM2G004641",-0.862046029934167,5.62740046909185,0.000213507692089251,0.00482708359360209
"GRMZM2G017110",1.17916164842664,6.13190345669905,0.000215295758782376,0.00486260229387009
"GRMZM2G010765",1.07070576958866,3.55085257981554,0.000216418742477345,0.00488304322779952
"GRMZM2G027495",-1.56357364424199,3.06052114495781,0.000217460425902595,0.00490161050537992
"AC233865.1_FG004",-4.21742140172001,0.447934456616036,0.000217867895959185,0.00490585950649804
"GRMZM2G004528",1.18429323409693,7.03837608904956,0.000219459802542367,0.0049365513151563
"GRMZM5G886688",0.744954876024724,5.31082386828638,0.000219671576041545,0.0049365513151563
"GRMZM2G130348",-0.631302144383508,7.55441160482232,0.000221550570111404,0.00497323024576669
"GRMZM2G104353",0.963720269800735,3.80272500223353,0.000221747690940456,0.00497323024576669
"GRMZM2G326677",-0.997767585023044,2.80742023427395,0.000222742895597503,0.00499055457586206
"GRMZM2G095865",1.29857868964052,2.39611592023197,0.000226447940240877,0.00506849760349334
"GRMZM2G054332",-2.08563723337056,1.49785698258648,0.000227417379644256,0.00508511615861234
"GRMZM2G012685",1.5835235462057,4.18037373463772,0.000227724321636536,0.00508690271811224
"GRMZM2G083935",1.76181396877607,2.28904450910028,0.000229248104717668,0.00511584042450135
"GRMZM2G148904",1.24595611665615,3.03908258912325,0.000230031098993233,0.00512820574422228
"GRMZM2G540538",0.819906169047824,4.56347192114735,0.000231828300326326,0.00515834983677444
"GRMZM5G814314",-0.701649361886017,8.0360877571416,0.000231843708352237,0.00515834983677444
"GRMZM2G072861",-1.54058268139018,3.82494411199988,0.000233930868613352,0.00519962411833546
"GRMZM2G106928",0.850793919865384,8.67277742326889,0.000235034353565133,0.00521897392629018
"GRMZM2G016926",0.793201197309431,4.31118710849275,0.000236391525208732,0.00524391299237786
"GRMZM2G079127",1.04450925360692,5.81592122642344,0.000238275006431554,0.00528046638882192
"GRMZM2G038598",0.798902804135849,7.67782412134857,0.000241370512981378,0.00534284997491127
"GRMZM2G165998",0.668114814882069,8.53101726276358,0.000241566928122523,0.00534284997491127
"GRMZM2G096693",0.718989626392192,4.84941106485431,0.000241835504472853,0.00534351526401802
"GRMZM2G009320",0.634580198134574,9.42901466266007,0.000243181326320161,0.00536795824256474
"GRMZM2G325008",1.15197161285923,4.08509874714116,0.000243907669280287,0.0053786922541583
"GRMZM2G145578",0.624177375248994,4.2372287845343,0.000244880241224246,0.00539482969973375
"GRMZM2G537244",-1.17979232192381,3.76016700794566,0.000245221212305735,0.005397034638222
"GRMZM2G061932",1.21081947568313,3.25813666097162,0.000247297258962065,0.00543738477629546
"GRMZM2G162814",0.69821379077105,6.33281227512848,0.000248245001627346,0.00544841938593711
"GRMZM2G083841",-1.28135333658919,10.3526640750191,0.000248285480608873,0.00544841938593711
"GRMZM2G167594",0.674901446201938,6.02833619790219,0.000248875761455691,0.00545116321943934
"GRMZM2G171430",0.921126388079004,5.17479717493169,0.000248897119994932,0.00545116321943934
"GRMZM2G016066",0.738582699067442,11.041984844356,0.000250425965857165,0.00547929078616189
"GRMZM2G153754",3.02329220062722,0.956620108915316,0.000251368667492198,0.00549455121479289
"GRMZM2G032602",2.05213150291281,2.03049583056609,0.000253224923144324,0.00552973138698692
"GRMZM2G050003",0.830631740288163,4.50325418430612,0.000253880988208473,0.00553865972815078
"GRMZM2G099648",-0.85586568549984,3.94372621158828,0.000254230041727585,0.00554087946002583
"GRMZM2G179147",2.42618063780486,2.42019519931033,0.000255106737385562,0.00555458352878864
"GRMZM2G155543",0.992643612741699,3.29372700321662,0.000255493276820326,0.0055562550082527
"GRMZM2G034024",3.23596479319203,0.436015898733829,0.000255679487324639,0.0055562550082527
"GRMZM2G001415",-0.907128906824798,2.95646328560544,0.000257225444910854,0.00558443419886404
"GRMZM2G701979",1.23158848028397,2.96971875146745,0.000257778369478449,0.00559102068554177
"GRMZM2G013060",0.826474616128659,3.60155135816346,0.000258764006626772,0.00560697056912266
"GRMZM2G062458",-0.798013647047776,5.32111064063173,0.000259549748148168,0.00561700192796072
"GRMZM2G388818",1.06887317185675,5.06662150128514,0.000259728364086914,0.00561700192796072
"GRMZM2G417945",-1.36021036230411,3.0575346250088,0.000261262750014292,0.00564473665773405
"GRMZM2G180283",1.32905001835249,6.60600991805083,0.000262679964388679,0.00566988882671324
"GRMZM2G330049",-0.986309739256812,5.83119016903939,0.000263830273352527,0.00568472830292699
"GRMZM5G883759",1.8596311550511,1.07745071733493,0.000263874913414152,0.00568472830292699
"AC202073.4_FG001",-1.0191897919827,3.88927428808701,0.00026602084154958,0.00572545336687641
"AC212728.3_FG001",1.49239997370045,3.33099720598433,0.000266490111852464,0.00573004890216358
"GRMZM2G047781",-0.896791450568052,3.15683886195449,0.000272573123084872,0.00584843187263618
"GRMZM2G082214",0.886735616591514,3.42312842945463,0.000272967938705558,0.00584843187263618
"GRMZM2G144782",1.18178106200884,4.23102953559673,0.000273016462847923,0.00584843187263618
"GRMZM5G836174",1.08752063631807,8.73248293547841,0.00027312689501554,0.00584843187263618
"GRMZM6G761998",-1.04862726132207,4.266422554685,0.000273300967223838,0.00584843187263618
"AC194970.5_FG001",-0.723693110122355,6.49732457366337,0.000273683719421128,0.00585103409697554
"GRMZM5G836886",-1.1936257351053,3.24767125962388,0.000277558001169343,0.0059232721509181
"GRMZM2G017022",-1.42912209930758,2.6771741742028,0.000277591419703817,0.0059232721509181
"GRMZM2G146240",0.71528722020747,8.07341477409453,0.000279914613099101,0.00596716166173679
"GRMZM2G121820",0.73006565565758,6.23451914275648,0.000282981783116651,0.00602681259574959
"AC233916.1_FG002",-2.9260974450268,0.732077617468647,0.000284394617473964,0.00605115043162788
"GRMZM2G370188",3.92180720365891,2.83805220091729,0.000284736171632597,0.00605266975847092
"GRMZM2G068510",-1.81743985527114,3.60467020255681,0.000288284240117795,0.00612228284344948
"GRMZM2G164580",-0.60918824895537,4.73752414613352,0.000291485771268651,0.00618441165272171
"GRMZM2G160370",-0.602261985573658,6.3722181667308,0.000292123836598749,0.00619208567549193
"GRMZM2G111737",1.13989922878124,2.8869545609175,0.000293650321991021,0.00621855903989492
"GRMZM2G095611",-1.11173428556729,4.06592021384787,0.000294094571201423,0.00621890345117995
"GRMZM2G140107",0.956616738176008,7.95371349803702,0.000294265851031812,0.00621890345117995
"GRMZM2G023840",1.91706605883449,2.73740346768428,0.000294499288627624,0.00621890345117995
"GRMZM2G055578",-0.975254545456121,3.35695348886422,0.000299094566998486,0.00630916703378134
"GRMZM2G033885",0.74511743440162,11.6013726547399,0.000299500657642379,0.00630916703378134
"GRMZM2G143998",-1.43544480774551,3.38739402874094,0.000299618554962881,0.00630916703378134
"GRMZM2G078314",1.18314440640676,3.12549985956096,0.000300748423220431,0.00632084576778557
"GRMZM2G135770",1.02870954930157,3.52008542698916,0.000300888543098747,0.00632084576778557
"GRMZM2G114873",1.13471710736747,2.16456475296345,0.000301019523955688,0.00632084576778557
"GRMZM2G159002",-1.23632320941553,2.52739019534649,0.000301764319303381,0.00632998483078566
"GRMZM2G138012",2.00385026718359,0.706241977932553,0.000302041380016663,0.00632998483078566
"GRMZM2G106263",-1.24766789539528,4.79877850404968,0.000302302332914111,0.00632998483078566
"GRMZM2G162486",1.11225571826608,7.22287660520877,0.000302943549207302,0.00633748853407059
"GRMZM2G091383",0.900397100008201,5.21014639036193,0.000303386993564933,0.00633785298507766
"GRMZM2G104632",0.820255001130312,4.55566402712973,0.000303526724078925,0.00633785298507766
"GRMZM2G136921",-5.17814423341263,1.7120499625253,0.000304176147319773,0.00634549960958987
"GRMZM2G068707",2.61436974155279,2.69268118652828,0.000304494022671705,0.00634622193298563
"GRMZM2G105319",-1.47497809754619,3.2759138584011,0.000304941148891325,0.00634963423876406
"GRMZM2G451716",-0.945950360930596,3.82731818483468,0.000305685107933363,0.00635921526763881
"GRMZM2G008356",-0.598949244879181,4.93159984510628,0.000308020158589595,0.00640184754471231
"GRMZM2G338465",-1.37467932832572,3.1297112655284,0.000310215210647274,0.00644149378549783
"GRMZM2G145638",1.29702542649444,4.08026431552454,0.000310713311787208,0.00644586273202999
"GRMZM2G004414",-1.20594101634554,4.22066958818562,0.000314100240265475,0.006499829397704
"GRMZM2G075320",-0.564635887065501,6.54699799045305,0.000314113031303795,0.006499829397704
"GRMZM2G357595",0.704751298608351,5.88604739040847,0.000314185013957306,0.006499829397704
"GRMZM2G119345",1.09886450195598,5.25330619388898,0.000315581232193428,0.00651915646561048
"GRMZM2G006480",1.09604200346988,5.87179161716752,0.000315701172291335,0.00651915646561048
"GRMZM2G095511",1.17274191130078,2.70309735294896,0.000316310075413515,0.00652571569027606
"GRMZM2G138258",0.603958381885394,11.3169082258884,0.000316841788945668,0.00653067183194819
"GRMZM2G177668",-1.1929038658363,4.64041904150251,0.000317234440490404,0.00653275518307675
"AC208201.3_FG002",1.24239727674379,4.00401203972056,0.00031818643245763,0.00654634253371276
"GRMZM2G063792",0.554581475128578,7.00200802084836,0.000318647023530926,0.00654980418551413
"GRMZM2G102216",-1.06583606774002,3.66338994434271,0.00031949649587557,0.0065612456371147
"GRMZM2G074604",0.99798359490045,6.94653074639853,0.000321552431899353,0.00659653072232824
"GRMZM2G143718",-0.727415253113633,6.45194379635007,0.000321803529547189,0.00659653072232824
"GRMZM2G479423",1.02618432223372,7.00646484968714,0.000324413803961678,0.00664395912044003
"GRMZM2G020054",2.90374372266381,0.506800334979281,0.000328228989189611,0.00671595479707145
"GRMZM2G330218",-0.592073707337363,5.91938480069431,0.000328578827162228,0.00671697867022784
"GRMZM2G030712",-1.26403701646413,4.0545975310406,0.000332930482582476,0.00679973332931665
"GRMZM2G031496",0.778014504915452,6.44599376841924,0.000334802080822501,0.00683173098436077
"GRMZM2G105644",0.702464579409223,11.0546163680555,0.000335684866701054,0.00684351177291821
"GRMZM5G898274",-4.19759276020452,0.205018462343323,0.000338109062378621,0.00688666685690274
"GRMZM2G052869",1.06399055722672,10.0827116370399,0.000340718967267483,0.00692761330109904
"GRMZM2G414496",0.813661346368302,6.61107957801907,0.000340737775398846,0.00692761330109904
"GRMZM2G001514",1.16364939986313,5.24274644854206,0.000342096546447038,0.0069489330218911
"GRMZM2G351125",0.712447014049042,6.33729268353071,0.000346875030367338,0.00703527702319629
"GRMZM2G045249",-1.21491883935312,2.37158409713598,0.0003469752783143,0.00703527702319629
"GRMZM2G039263",-0.856154723457215,4.20489482870022,0.00034845599563753,0.00705891191885974
"GRMZM2G031043",-1.25655204969627,2.64993409007345,0.000349320106227866,0.00706929207556836
"GRMZM2G144971",-0.589686326536159,5.23821945873261,0.000349599447432704,0.00706929207556836
"GRMZM2G038183",-1.17919059252342,3.17249988470705,0.000349994206522007,0.00707089287387337
"GRMZM2G078360",-0.810765793940963,4.89591038708871,0.000350896083191095,0.00708272679630315
"GRMZM2G035708",0.742504410419875,8.20247090833688,0.000351780614589174,0.00709418962184558
"GRMZM2G167243",-0.970999785196467,4.30997073144583,0.000352841633244893,0.00710615335250938
"GRMZM2G136016",0.648695435292,4.75694302615047,0.000353008198229991,0.00710615335250938
"GRMZM2G178892",1.07845255559414,4.97242403328631,0.000353815277119433,0.00711600653847478
"GRMZM2G484344",-0.750783185035585,4.27500252588741,0.000355194007660458,0.00713447522322666
"GRMZM2G099729",0.82222201606213,5.75172995923803,0.000355370423973263,0.00713447522322666
"GRMZM2G117193",1.46768692435761,3.13322565451365,0.000356757919384177,0.00715591869633169
"GRMZM2G058456",-1.1310664067849,3.62433692680704,0.000358220763124491,0.00717883380841164
"AC225205.3_FG003",-0.916084214083515,4.20243128907017,0.00035936806900377,0.00719539015730963
"GRMZM2G036609",0.690812343627602,10.4471747703123,0.00036100949305188,0.00722180151056014
"GRMZM2G133400",1.54742782877691,4.40890304237445,0.000363129805933315,0.00725773711145042
"GRMZM2G042146",0.899155552131709,4.62788999075101,0.000364324504488586,0.00727512524337502
"GRMZM2G142984",0.650806326251422,6.36273182005883,0.000367643356885087,0.00733486145236898
"GRMZM5G838196",1.12282947715001,7.26462838769238,0.000369020642588481,0.00735172000265371
"AC217050.4_FG001",0.899084968821222,6.93466405173675,0.000369144610711244,0.00735172000265371
"GRMZM2G011071",1.22848584100351,4.23369336469115,0.000372092493085832,0.00740384752006046
"GRMZM2G104504",-0.92359138379562,4.21444460970992,0.000376255498102038,0.00748003942766297
"GRMZM2G096184",2.76638914928739,0.408376299211087,0.000377239724433256,0.00749295746979352
"GRMZM2G145914",0.620802650984635,5.89428117230816,0.000378051606600973,0.00750243245871992
"GRMZM2G097805",-1.3606131369499,2.09277440164369,0.000380427300541243,0.00754289705188191
"GRMZM2G020840",0.797866390082383,6.90148908154068,0.000381402554391501,0.00755554750764066
"GRMZM2G382413",0.686956479691483,5.21298174260815,0.000382922164361505,0.00757649413261925
"GRMZM2G135387",-1.90751420595,3.68578862244716,0.000383136257632565,0.00757649413261925
"GRMZM2G030038",-0.935243879845739,4.15462430704244,0.000383986271059496,0.00758660705739683
"GRMZM2G048121",1.07846030326139,8.07012669256673,0.000384620477734767,0.00759244211775107
"GRMZM2G081310",-1.0779580826784,4.14054022220371,0.000385171526951599,0.00759662681456916
"GRMZM2G076972",-1.55296176575699,2.25431066691908,0.000388564983760295,0.00765361318229945
"GRMZM2G073180",1.14132048337738,2.93559173263427,0.000388744110754598,0.00765361318229945
"GRMZM2G055489",0.603044798712803,8.61423565266739,0.000397008457184188,0.00780323020496688
"GRMZM2G074245",-0.911426033824584,3.01468747507216,0.00039720842986306,0.00780323020496688
"GRMZM2G171807",-1.61017667771958,1.39092234361772,0.000397388335811971,0.00780323020496688
"GRMZM2G324462",1.25767609807326,5.45061399476937,0.000397861319392367,0.00780567676093343
"GRMZM2G164397",1.91015442576174,2.57914355402756,0.000398282481717072,0.00780710323960717
"GRMZM2G177970",0.58491811755023,5.80215881958435,0.000399650084731875,0.00782706306679866
"GRMZM2G150363",-1.46917363594763,7.23789569369857,0.000400835656083429,0.00784342609130937
"GRMZM2G140545",0.675426479351802,5.43573966599722,0.000404966519414466,0.00791734281630114
"GRMZM2G032807",1.1503046205183,5.30776838077773,0.000406095163768901,0.00793248661224258
"GRMZM2G080930",0.710834797555317,4.92396780307204,0.000407487687156556,0.00795275403374794
"GRMZM2G127379",2.02801524772691,0.939959696557648,0.000407980774052673,0.00795544755670159
"GRMZM2G071166",0.999038187621359,6.82529696890778,0.000408383852504139,0.00795638279596108
"GRMZM2G133844",0.661589241166245,8.87922184110672,0.000409172698913988,0.00796482564654032
"GRMZM2G352855",1.61318160065764,1.79823382572696,0.000410376944032214,0.00798133283944596
"GRMZM2G453610",0.809263877817449,5.39913277569311,0.000411896171546086,0.00800292048301073
"GRMZM2G343563",-0.73866708789426,4.07297479434954,0.000412201304949537,0.00800292048301073
"GRMZM5G840909",0.997698200847971,5.16508944692038,0.000413234985730265,0.00801107214478275
"GRMZM2G014009",-1.03999199518377,3.46841483332543,0.000413610770828461,0.00801107214478275
"GRMZM2G169280",-0.925155562176479,3.74944182266111,0.000413768576673251,0.00801107214478275
"GRMZM2G125762",-0.674339104127245,4.19311868351345,0.000414838569169076,0.00801107214478275
"GRMZM2G157379",-0.848678105969874,3.6812309426213,0.000414997940354987,0.00801107214478275
"AC190628.4_FG007",-0.772615567294569,4.89933155991217,0.000415222008971648,0.00801107214478275
"GRMZM2G090715",-0.719239731841976,3.3071098447927,0.000415413874799745,0.00801107214478275
"GRMZM2G085892",1.3584078639769,2.25459270819938,0.000415772234840384,0.00801107214478275
"GRMZM2G126582",-0.993781764493479,3.6690481828242,0.000415839183413628,0.00801107214478275
"GRMZM2G067383",-1.32842574294311,1.71931774439855,0.00041748042533994,0.00803578086747539
"GRMZM2G098370",1.22183348455954,3.13680226922507,0.000420267409236586,0.00808248180596199
"GRMZM5G897776",0.696563991225366,6.19376152357529,0.000420921979123407,0.00808812773778725
"GRMZM2G108032",2.81420118794533,1.21358542598499,0.000421946807101343,0.00810087250480341
"GRMZM2G368662",1.05577263644559,3.31284552828994,0.000424767896618704,0.00814368853641611
"GRMZM2G704150",0.759324138654144,4.71316607128418,0.000424903900873485,0.00814368853641611
"GRMZM2G179292",0.715641388274028,7.96358540413497,0.000425292367486785,0.00814416708849694
"GRMZM2G138764",1.7299681446834,3.0209619827191,0.00042599100606329,0.00815057941148422
"GRMZM2G008556",-0.775313160105502,3.79357601096846,0.00042816430911486,0.00818517179668809
"GRMZM2G135195",-1.22318861860042,3.91286412382073,0.00042994749676649,0.00821225376389874
"GRMZM2G164229",0.98481032850009,10.0592005733754,0.000430817057334394,0.00822185363677777
"GRMZM2G477879",-1.16240308428596,2.40341262132283,0.000432816835934999,0.00825298826308395
"GRMZM2G035599",1.83214261583451,1.33464328874474,0.00043523581451592,0.00829205648318808
"GRMZM2G426336",1.14377563365612,3.62955701174952,0.000436904082106979,0.00831560631147228
"GRMZM2G089836",1.99640759613072,4.4861879152747,0.00043721420374534,0.00831560631147228
"GRMZM2G419239",-1.39552249387765,2.80527274622424,0.000439389537886554,0.00834989193922666
"GRMZM2G085301",0.702819279925368,6.5307171679675,0.000439968075508203,0.00835127969607569
"AC217556.3_FG003",-0.588788939387967,4.61832947243114,0.00044021375769957,0.00835127969607569
"GRMZM2G022279",0.864800631490822,6.48934691386627,0.000441228529285112,0.00835127969607569
"GRMZM2G014387",0.61831840338131,5.33704079643506,0.000441457361673177,0.00835127969607569
"GRMZM2G165390",2.40429781308773,1.53207077979408,0.000441562458533267,0.00835127969607569
"AC196066.3_FG003",-1.53086709253785,2.12144248159682,0.00044169901539164,0.00835127969607569
"GRMZM5G820393",-0.977142185789558,5.16223764412308,0.000442282580061627,0.00835526239989945
"GRMZM2G418635",1.38584736034587,3.19559554449403,0.0004445160935219,0.00838451358421627
"GRMZM5G827496",1.47199989436272,4.02917795399903,0.000444579430397185,0.00838451358421627
"GRMZM2G351832",1.06556598386142,2.77356617687969,0.000445639562025859,0.00839743850899022
"GRMZM2G060057",1.25637704299861,3.98088454939188,0.000446617146063796,0.00840876406420041
"GRMZM2G467123",-2.26736127443821,0.7008417339904,0.000446991207340446,0.00840876406420041
"GRMZM2G010555",0.648865527697396,5.76227504029731,0.000447399482350092,0.00840938372655521
"GRMZM2G370162",-1.19243829043398,2.6099514906519,0.00044904539749692,0.00843324570906831
"GRMZM2G398668",-1.0780570565499,2.88531950285233,0.000451086169271854,0.00846447707080058
"GRMZM2G155073",-1.38444021846556,2.17560027099298,0.00045251188364518,0.00848412447955671
"GRMZM2G129913",-1.17713114900829,3.81406374269649,0.0004566341454407,0.00853481671491712
"GRMZM2G017966",-0.687998958671066,5.47595902959919,0.000456727640540551,0.00853481671491712
"GRMZM2G004516",-0.828521085998415,4.9725848348084,0.000456788891694016,0.00853481671491712
"GRMZM2G163641",-0.688249238649985,5.22114893778908,0.000457108905331113,0.00853481671491712
"GRMZM2G130043",0.809963017546313,4.57459738401144,0.000457120288234793,0.00853481671491712
"GRMZM2G053999",1.06278920865675,2.17762751818256,0.00045820747423598,0.00854799205683358
"GRMZM2G001304",0.790535392061703,6.11520252999899,0.000459568949124848,0.00856625815735626
"GRMZM2G060079",0.65513552555504,7.69722642080488,0.000462780935427256,0.00861895831940787
"GRMZM2G053720",-1.41796089565276,3.45701006312464,0.000465859730570435,0.00866909241148721
"GRMZM2G134980",-0.854996948104082,5.0332389450002,0.000467168056787252,0.00868622432557543
"GRMZM2G432774",-0.988096798642287,4.65030250673867,0.000468064478503816,0.00869567548994859
"GRMZM2G134334",0.888254847772421,5.02989481357391,0.000469591632980481,0.00871681900325409
"AC233945.1_FG003",1.40913306135078,3.09915293596478,0.000470139468467628,0.00871976389984869
"GRMZM2G370852",0.644348567782832,6.66508473259577,0.000471744807004383,0.00874230140689265
"GRMZM2G060276",-0.810170140803129,3.46615157183203,0.000473027370470548,0.00875406471424517
"GRMZM2G057973",0.989396510542252,3.1624777485745,0.000473161007317603,0.00875406471424517
"GRMZM2G085550",1.68997315712616,4.17455071446511,0.0004746850727425,0.00877501572177865
"GRMZM2G056495",-0.880559289661842,3.0050463528589,0.000475461646519756,0.0087791798496485
"GRMZM2G422045",2.106512149721,1.47221265057341,0.000475694011938107,0.0087791798496485
"GRMZM2G117531",0.673327139629865,8.8872496709632,0.00047805080504662,0.00881541422804076
"GRMZM2G070422",0.772874282756236,4.2204905357423,0.000478705244097098,0.00882022285690417
"GRMZM2G043584",-1.0672735766805,4.07010602572883,0.000479197294781143,0.00882203400950823
"GRMZM2G059637",-1.0196304404041,3.45341800447044,0.000481156682011447,0.00885083371138463
"GRMZM2G035665",-0.662562169857156,4.43876670547661,0.000482094374500355,0.0088608075969487
"GRMZM2G013461",0.803917064773024,6.20031126736623,0.00048514477962548,0.00890956457992532
"GRMZM2G104347",-0.682332770528842,5.81991588827914,0.000485732057635713,0.00891304402238178
"GRMZM2G354604",0.623408753675894,4.37718966370058,0.000487356776104354,0.00892217304275413
"GRMZM6G477257",-0.888164310957282,5.56074311365078,0.00048765650815626,0.00892217304275413
"GRMZM2G081554",-0.927997743921569,5.11214467612304,0.000487713478037333,0.00892217304275413
"GRMZM2G007063",0.72084854707785,4.55697458297562,0.000487822449336033,0.00892217304275413
"GRMZM2G132847",-0.602686510524011,5.04115112224753,0.000488294208688967,0.00892351692143254
"GRMZM2G145440",2.32355003750358,2.06222910015147,0.00049259860611406,0.00899484251832561
"GRMZM2G130379",0.663039428802875,10.1300778161855,0.000493938301633574,0.00901185448240602
"GRMZM2G363229",1.71249994736268,1.58856808104873,0.00049433470916657,0.00901185448240602
"GRMZM2G000245",-0.812695850353196,3.59165657517843,0.000494895313182818,0.00901473942427727
"GRMZM2G083173",-0.571563009435267,6.61629965509356,0.000495805003223191,0.00902397327149927
"GRMZM2G181362",-0.691043897783253,4.39766144358897,0.000496544637321149,0.0090300995123217
"GRMZM2G063717",1.56676848568131,7.66263255571799,0.000497333508466212,0.00903711050866624
"GRMZM2G028637",-1.38386568120042,2.18400765610002,0.000499566643084245,0.00907033277009928
"GRMZM2G013936",-1.18146081634214,2.50867421358689,0.000501188903522647,0.0090924189339473
"GRMZM5G868273",0.669060656278434,7.8605025829078,0.000503000473304356,0.00911790097442079
"GRMZM2G150295",0.737924598774412,6.9111158084338,0.000506474827906978,0.00915140937795387
"GRMZM2G093815",-0.834844673405473,4.27344466421787,0.000506785686263554,0.00915140937795387
"GRMZM2G367638",0.949476998852159,4.65140950063119,0.000506809185972826,0.00915140937795387
"GRMZM5G814571",-1.42365526913989,1.60247772559832,0.000506842110786162,0.00915140937795387
"GRMZM2G066500",-1.35576826721724,3.34993665199069,0.000506891275967005,0.00915140937795387
"GRMZM2G468740",2.09234493684548,3.32333015306379,0.000507469904795128,0.00915447924068828
"GRMZM2G121096",-0.630767735651097,5.05684758320273,0.000509389424068854,0.00917806397220794
"AC155496.2_FG009",-0.57334546879449,5.15965529305776,0.000509596589217883,0.00917806397220794
"GRMZM2G157596",0.784118478745428,4.21069707753057,0.000510801221716927,0.00919237058037571
"GRMZM2G364069",-0.744913830113731,5.73455053936279,0.000511648934351248,0.00920023625532882
"GRMZM2G001696",0.62818311327452,11.6443283599065,0.000512153562649564,0.00920178279260372
"GRMZM2G018876",-0.990204425018044,7.61435433758364,0.000513008320346197,0.00920178279260372
"GRMZM2G015285",0.811217741439348,7.6739685027953,0.000513267086219088,0.00920178279260372
"GRMZM2G166452",1.55170400451963,2.14800856973532,0.000513377750089474,0.00920178279260372
"GRMZM2G477200",-1.51733645923899,1.4670216166796,0.000514127873317573,0.00920786171197459
"GRMZM2G107082",-0.988800440940492,4.75716188041592,0.000515025694287866,0.00921626815929827
"GRMZM2G027241",-0.723918353555311,4.14770993846665,0.000515419951064527,0.00921626815929827
"GRMZM2G325575",0.840138988387947,9.5074320765155,0.000516802608090244,0.00923362235587074
"GRMZM5G857992",-0.632783113863402,4.15058253179914,0.000518367127615823,0.00924806185980239
"GRMZM2G164470",1.04119021571913,6.1198390004162,0.000518436317603741,0.00924806185980239
"GRMZM2G010791",-1.27728976240071,7.38906388739306,0.000519377559753098,0.00924927889190981
"GRMZM2G071294",0.675039587459102,5.10999678050528,0.000519667031513174,0.00924927889190981
"GRMZM2G438938",-1.16641033942099,3.03383824513837,0.000519743009369089,0.00924927889190981
"GRMZM2G077233",-0.744261088331923,7.03146596009448,0.000521190481903518,0.0092634792839729
"GRMZM2G473411",-1.62084259113605,1.66551949043451,0.000521665336446194,0.0092634792839729
"GRMZM2G138516",-2.57634237562771,1.85105926008897,0.000522187454254031,0.0092634792839729
"GRMZM2G118821",-1.49641627803399,3.97731372898308,0.000522194792932728,0.0092634792839729
"GRMZM2G044900",0.575962433154788,7.99475363117258,0.000525223736099392,0.00930984003742632
"GRMZM2G327357",2.46849958514294,1.74768961936654,0.000525840003138345,0.00931339547060444
"GRMZM2G093295",-1.77282685572572,1.27141343406279,0.000529538143096269,0.00937148664776612
"GRMZM2G138060",1.22492746635372,3.62151835032398,0.000530138056000413,0.00937469861459294
"GRMZM2G015610",-1.0399503586693,4.2323958847829,0.000530749846848342,0.00937811539324693
"GRMZM5G852329",-0.740582865854476,5.01853628261162,0.000531792442993597,0.0093829857058868
"GRMZM2G155253",0.795158311750321,8.99014272599036,0.000531863059427638,0.0093829857058868
"GRMZM2G051630",0.910069315740422,4.25222314914675,0.000533483607470805,0.00940417012225285
"GRMZM2G099305",1.05131185893886,6.66915718147562,0.000534178738944274,0.00940902094814973
"GRMZM2G386962",5.05079222987189,1.54523814955991,0.000537222017396674,0.00945519190869795
"GRMZM2G161245",-1.01316135187689,4.31360924159474,0.000537932366675612,0.00946026269652047
"GRMZM2G060070",-1.77407209167038,1.22244008368978,0.000541152869965074,0.00950943533456273
"GRMZM5G893864",0.861020838197842,3.58972898085684,0.000542333234548557,0.00952270855804109
"GRMZM2G059706",1.97206680757142,1.55042803070922,0.000544040566954548,0.0095452066582746
"GRMZM2G009683",-0.876213406725174,4.23244995942469,0.000544718529812265,0.00954962336497949
"GRMZM2G023591",0.777127202980193,5.59036637277984,0.000545842808785335,0.00956185154873763
"GRMZM2G073693",0.90580534140471,4.01883370750002,0.000555120552718787,0.00971677811223783
"GRMZM2G007681",-1.10642848768304,3.1456645451464,0.000556453197604115,0.00973250108690101
