"","logFC","logCPM","PValue","FDR"
"GRMZM2G042323",4.46764995779209,8.09783624375189,1.04447538330028e-13,3.60022630197581e-11
"GRMZM2G019183",1.86754389471494,5.4069840560643,1.43814956095575e-13,4.88208195654752e-11
"GRMZM2G125838",2.12866670864556,5.41079165280402,1.72683513061322e-13,5.77458822408795e-11
"AC233888.1_FG001",2.32976101566353,2.81101350039424,1.99250190024373e-13,6.56500074631776e-11
"GRMZM2G121948",1.89769796823311,5.12077857854797,2.08797239642367e-13,6.77985819447425e-11
"GRMZM2G017319",2.39354718786124,5.58359213239455,2.44213048720524e-13,7.81656193797619e-11
"GRMZM2G070847",1.6747399247711,8.58640765332439,2.51086641920487e-13,7.92337494680072e-11
"GRMZM2G148913",1.69350307377396,6.5410742132628,2.59931230676646e-13,8.08855447681979e-11
"GRMZM2G098290",1.70395535904952,8.97502161155223,2.85523711749331e-13,8.76323118047092e-11
"GRMZM2G425728",2.71872092444055,6.0074877923343,3.25892600957935e-13,9.86705908711154e-11
"GRMZM2G474039",4.04775131444868,1.56348805193918,3.65159444423125e-13,1.09085298030668e-10
"GRMZM2G149265",1.99732309543613,7.71918435392573,4.24336465744424e-13,1.25095506776366e-10
"GRMZM2G109286",2.63334867891623,3.93832835521441,4.69959508484201e-13,1.36746010228422e-10
"GRMZM2G475536",3.15402726575011,6.5023006298209,1.07114448637066e-12,3.07679387399163e-10
"GRMZM2G179349",1.73950481423169,6.23028317699957,1.17121338710127e-12,3.32165011873467e-10
"GRMZM2G032821",1.27496140997704,7.28384929463861,1.33816112647066e-12,3.74768750482188e-10
"GRMZM2G141320",4.0239841923007,6.28408902434517,1.37537508995543e-12,3.80435541857425e-10
"GRMZM2G086179",3.92561587306527,9.9457841042801,1.49456665821744e-12,4.08362999723925e-10
"GRMZM2G057140",3.55742030121568,5.19772701000336,1.68137226702675e-12,4.53869224611256e-10
"GRMZM2G355752",2.85254178670345,7.07015133892724,1.83395077067921e-12,4.89162702584139e-10
"GRMZM2G056355",2.21219298931446,4.12171543111168,1.91013573805913e-12,5.03489308367234e-10
"GRMZM2G011141",3.53494709342186,3.484946578137,2.05609952605266e-12,5.35661742804767e-10
"GRMZM2G050561",4.62718502401191,2.722454289775,2.09578094681523e-12,5.39723817395348e-10
"GRMZM2G021706",1.6074743963139,6.94300252981342,2.25412579204147e-12,5.73905549666923e-10
"GRMZM5G864903",-3.5293309940784,3.82308313039883,2.31196801465902e-12,5.82018464813879e-10
"GRMZM2G412604",3.21355193393237,5.12114540027773,3.49723349923751e-12,8.70616850560181e-10
"GRMZM2G060311",3.71091935858725,5.38503854441589,5.38863535025547e-12,1.32672939585136e-09
"GRMZM2G024705",4.30289556946733,4.26486724981828,6.86679534541733e-12,1.67228858384865e-09
"GRMZM2G542538",2.56039399245926,3.9068638780402,7.13949653042243e-12,1.72000451359263e-09
"GRMZM2G166548",4.87907299943211,1.18739529166736,7.94333384499668e-12,1.89330207231011e-09
"GRMZM2G173882",2.23845955722372,5.16302218629174,9.62564835644786e-12,2.27013317290752e-09
"AC209981.3_FG006",6.00741183042863,0.738470133724433,1.098356096018e-11,2.56340295117533e-09
"GRMZM2G035579",2.88263027246786,6.82089462160914,1.37955021835795e-11,3.18647656106286e-09
"GRMZM2G085078",1.99050123202797,6.79042167446875,1.51720286946799e-11,3.46866635616637e-09
"GRMZM2G366065",1.6036790275826,5.8526859882427,1.73788853398157e-11,3.93306995998556e-09
"GRMZM5G821139",-2.46665501790827,3.63154954750342,1.79298516571344e-11,4.01718326378095e-09
"GRMZM2G360455",2.32761196083941,4.67281459899449,2.33103725671791e-11,5.17097918185791e-09
"GRMZM2G158117",-2.02918049199541,3.47053575245182,2.42894311486983e-11,5.33534024398613e-09
"GRMZM2G034407",6.40034581225818,1.0248576143128,2.91279581557088e-11,6.33603788814229e-09
"GRMZM2G702229",2.65951635822689,3.78536408111033,3.14807497667228e-11,6.78198267810986e-09
"GRMZM2G110286",4.95258918614006,0.891106387922691,3.28662486429951e-11,7.01303143663149e-09
"GRMZM2G440208",2.7528521684869,5.32836239025449,3.46739710910493e-11,7.32896530466943e-09
"GRMZM2G069106",-1.14469611292045,5.82962923192123,4.10085758309528e-11,8.58688917282708e-09
"GRMZM2G094353",-2.42461460591348,5.34278197589449,4.80160014699212e-11,9.96109734197763e-09
"GRMZM2G010871",1.74060591363686,7.02574768167973,5.15486538751471e-11,1.05382840805766e-08
"GRMZM2G013299",5.56566831781707,1.34458587641985,5.17389533078969e-11,1.05382840805766e-08
"GRMZM2G053322",1.31143504098869,8.79351288614058,5.87284911392954e-11,1.18541607565398e-08
"GRMZM2G090105",2.26045974207081,3.97798375137741,6.01995858847251e-11,1.20426046584577e-08
"GRMZM2G125072",2.3641892219266,3.07074116589232,6.12083073276109e-11,1.21360365103993e-08
"GRMZM2G158008",1.78705476507943,4.65159930201094,7.24749939740572e-11,1.4243879298147e-08
"GRMZM2G144730",1.76714724843342,7.44145483536094,7.68346506798714e-11,1.49693943346306e-08
"GRMZM2G469523",1.32202423161307,7.40898516884144,8.26366649883791e-11,1.59609868884882e-08
"GRMZM2G048904",2.4374488004556,5.19992359895244,8.49901424253297e-11,1.62752490687138e-08
"GRMZM2G066636",2.76765524535706,6.5709674041857,9.0729476613877e-11,1.72270671485925e-08
"GRMZM2G152447",2.95430373936384,6.45834201789761,9.21384504169599e-11,1.73475796772436e-08
"GRMZM2G473976",1.81988831204199,4.32734968416967,9.52676061894257e-11,1.7787255972284e-08
"GRMZM2G475293",1.31417607399269,7.66703305689775,1.05620490581716e-10,1.95572486899451e-08
"GRMZM2G033962",-1.5944817218484,6.62744037358017,1.07048778520098e-10,1.96592449405146e-08
"GRMZM2G126812",2.17668631225992,5.53526409485865,1.22627614770159e-10,2.23371683652472e-08
