,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
AC213521.3_FG005,2.099889289,7.826626482,2.46E-14,9.87E-12,,,,,,,,,,,,,,,,,,,
GRMZM2G477503,3.200006764,8.10161055,2.47E-14,9.87E-12,,,,,,,,,,,,,,,,,,,
GRMZM2G000739,2.922027352,5.13032486,2.52E-14,9.91E-12,,,,,,,,,,,,,,,,,,,
GRMZM2G048733,1.325182498,6.832895285,2.84E-14,1.10E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G002915,3.419996698,5.953146962,3.23E-14,1.23E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G081883,1.974015325,4.579148798,4.04E-14,1.51E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G142383,1.745147528,8.660486104,4.30E-14,1.57E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G173413,-2.450062546,4.404298587,4.34E-14,1.57E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G035517,5.131392851,2.135787553,4.65E-14,1.65E-11,,serine carboxypeptidase-like 40,,,,,,,,,,,,,,,,,
GRMZM2G122187,4.466693934,1.484953264,9.41E-14,3.29E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G042323,4.467649958,8.097836244,1.04E-13,3.60E-11,, interacting protein of DMI3,,,,,,,,,,,,,,,,,
GRMZM2G019183,1.867543895,5.406984056,1.44E-13,4.88E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G125838,2.128666709,5.410791653,1.73E-13,5.77E-11,,,,,,,,,,,,,,,,,,,
AC233888.1_FG001,2.329761016,2.8110135,1.99E-13,6.57E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G121948,1.897697968,5.120778579,2.09E-13,6.78E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G017319,2.393547188,5.583592132,2.44E-13,7.82E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G070847,1.674739925,8.586407653,2.51E-13,7.92E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G148913,1.693503074,6.541074213,2.60E-13,8.09E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G098290,1.703955359,8.975021612,2.86E-13,8.76E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G425728,2.718720924,6.007487792,3.26E-13,9.87E-11,,,,,,,,,,,,,,,,,,,
GRMZM2G474039,4.047751314,1.563488052,3.65E-13,1.09E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G149265,1.997323095,7.719184354,4.24E-13,1.25E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G109286,2.633348679,3.938328355,4.70E-13,1.37E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G475536,3.154027266,6.50230063,1.07E-12,3.08E-10,,,,,,,,,,,,,,,,,,,
GRMZM2G179349,1.739504814,6.230283177,1.17E-12,3.32E-10,,,,,,,,,,,,,,,,,,,
