,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G113203,0.54240031,4.449965959,0.023341168,0.1309542,,,,,,,,,,,,,,,,,,,
GRMZM2G464000,-0.351166547,6.103329885,0.023342819,0.1309542,,,,,,,,,,,,,,,,,,,
GRMZM2G107945,0.657142814,4.205432816,0.023347031,0.1309542,,,,,,,,,,,,,,,,,,,
GRMZM2G078143,0.448369975,5.798453349,0.023350236,0.1309542,,,,,,,,,,,,,,,,,,,
GRMZM2G134256,0.45310148,7.569750502,0.023370418,0.13103459,,,,,,,,,,,,,,,,,,,
GRMZM2G170760,-0.382093658,4.759430508,0.023376888,0.131038071,,,,,,,,,,,,,,,,,,,
GRMZM2G451856,-0.549158344,3.586431011,0.023396877,0.131117317,,,,,,,,,,,,,,,,,,,
GRMZM2G029087,0.964224583,2.029956108,0.023420351,0.131216044,,,,,,,,,,,,,,,,,,,
GRMZM2G310115,0.44963953,6.488784589,0.023457931,0.131393735,,,,,,,,,,,,,,,,,,,
GRMZM2G091302,0.485158188,4.962390211,0.023473159,0.131439172,,,,,,,,,,,,,,,,,,,
GRMZM2G019515,-1.119838872,4.876186525,0.023477776,0.131439172,,,,,,,,,,,,,,,,,,,
GRMZM2G053083,0.71027018,3.836118209,0.023496713,0.131481056,,,,,,,,,,,,,,,,,,,
GRMZM2G100716,-0.409463484,6.18761675,0.023496994,0.131481056,,,,,,,,,,,,,,,,,,,
GRMZM2G055446,-1.587499878,3.02141292,0.023519565,0.131545252,,,,,,,,,,,,,,,,,,,
GRMZM2G141273,0.552879813,5.859840581,0.023520209,0.131545252,,,,,,,,,,,,,,,,,,,
GRMZM2G055273,-0.821618355,4.248226952,0.023534365,0.131563557,,,,,,,,,,,,,,,,,,,
GRMZM2G423169,0.81521297,1.537404815,0.023535226,0.131563557,,,,,,,,,,,,,,,,,,,
GRMZM2G358050,-0.382196256,6.316039427,0.023541193,0.131564091,,,,,,,,,,,,,,,,,,,
GRMZM2G074821,1.012096401,2.59839765,0.023569828,0.13167075,,,,,,,,,,,,,,,,,,,
GRMZM2G093347,0.555324582,5.405264206,0.023572032,0.13167075,,,,,,,,,,,,,,,,,,,
GRMZM2G049675,0.853488092,3.179105837,0.023581286,0.13168961,,,,,,,,,,,,,,,,,,,
GRMZM2G038221,0.480654428,4.272146514,0.023598763,0.131739509,,,,,,,,,,,,,,,,,,,
GRMZM2G318803,-0.780225986,3.278111608,0.023601981,0.131739509,,,,,,,,,,,,,,,,,,,
GRMZM2G455321,-2.599978169,1.122123736,0.023613055,0.131749977,,,,,,,,,,,,,,,,,,,
GRMZM2G031022,-0.43024835,4.712253439,0.023615617,0.131749977,,,,,,,,,,,,,,,,,,,
GRMZM2G142645,0.730394547,2.37090717,0.02364233,0.131833416,,,,,,,,,,,,,,,,,,,
GRMZM2G084279,0.581551114,7.319674216,0.023642342,0.131833416,,,,,,,,,,,,,,,,,,,
GRMZM2G101117,1.720674031,0.56102582,0.023660688,0.13190289,,,,,,,,,,,,,,,,,,,
GRMZM2G377369,-0.49227299,4.518290981,0.023666788,0.131904075,,,,,,,,,,,,,,,,,,,
GRMZM2G072892,-0.56606147,3.011944449,0.023682856,0.131960802,,,,,,,,,,,,,,,,,,,
GRMZM2G374213,1.435362901,0.814624103,0.023734097,0.132192566,,,,,,,,,,,,,,,,,,,
GRMZM2G112165,-0.391187356,6.729891288,0.023736251,0.132192566,,,,,,,,,,,,,,,,,,,
GRMZM5G896708,1.055043436,2.023843304,0.023757106,0.132275834,,,,,,,,,,,,,,,,,,,
GRMZM2G132547,-0.690423688,4.585035354,0.023776518,0.132345938,,,,,,,,,,,,,,,,,,,
GRMZM2G303655,-0.383331064,5.017315114,0.023784761,0.132345938,,,,,,,,,,,,,,,,,,,
GRMZM2G149946,-0.392485543,4.405641999,0.023787418,0.132345938,,,,,,,,,,,,,,,,,,,
GRMZM2G076802,0.749933789,2.817625143,0.023836884,0.132588232,,,,,,,,,,,,,,,,,,,
GRMZM2G094699,-0.809296391,2.49699755,0.023847261,0.132613026,,,,,,,,,,,,,,,,,,,
GRMZM2G095209,-1.250272257,1.303471265,0.023863909,0.132672673,,,,,,,,,,,,,,,,,,,
GRMZM2G123604,-0.591478569,3.36967009,0.023884153,0.132736296,,,,,,,,,,,,,,,,,,,
GRMZM5G804658,1.91651754,0.305057461,0.023901721,0.132736296,,,,,,,,,,,,,,,,,,,
GRMZM2G025924,-0.449824828,4.161134118,0.023905571,0.132736296,,,,,,,,,,,,,,,,,,,
GRMZM2G383833,-0.869170325,1.320773743,0.023908098,0.132736296,,,,,,,,,,,,,,,,,,,
GRMZM2G145234,1.901236246,1.357367465,0.023908373,0.132736296,,,,,,,,,,,,,,,,,,,
GRMZM2G113364,-0.857959407,2.179686311,0.023910899,0.132736296,,,,,,,,,,,,,,,,,,,
GRMZM2G041181,0.419861794,6.017239141,0.023917473,0.132739902,,,,,,,,,,,,,,,,,,,
GRMZM2G034668,-1.510518199,0.465159271,0.023961935,0.132953727,,,,,,,,,,,,,,,,,,,
GRMZM2G442404,0.381533591,4.847198449,0.023969319,0.132961773,,,,,,,,,,,,,,,,,,,
GRMZM2G084339,1.582408803,3.511261822,0.023992125,0.133050782,,,,,,,,,,,,,,,,,,,
GRMZM2G050481,-1.543699261,0.522009631,0.023997242,0.133050782,,,,,,,,,,,,,,,,,,,
GRMZM2G086761,1.126772702,1.44689724,0.024012645,0.133053607,,,,,,,,,,,,,,,,,,,
GRMZM5G858197,0.651737522,2.646014631,0.02401432,0.133053607,,,,,,,,,,,,,,,,,,,
AC199782.5_FG001,0.474482033,4.111239702,0.024015567,0.133053607,,,,,,,,,,,,,,,,,,,
GRMZM2G165931,-0.557398054,4.238634941,0.024099143,0.133483636,,,,,,,,,,,,,,,,,,,
GRMZM2G012717,-0.935236944,4.498788296,0.024109725,0.133507445,,,,,,,,,,,,,,,,,,,
AC187157.4_FG002,-0.607621225,3.143206708,0.024115359,0.133507445,,,,,,,,,,,,,,,,,,,
GRMZM2G130959,0.430720558,4.861504412,0.024131107,0.133561623,,,,,,,,,,,,,,,,,,,
GRMZM2G327311,-0.649341907,3.453409445,0.02413707,0.133561631,,,,,,,,,,,,,,,,,,,
GRMZM2G176698,-0.362398119,6.233121937,0.024180383,0.133758023,,,,,,,,,,,,,,,,,,,
GRMZM2G019874,-1.24202611,0.7008138,0.024186103,0.133758023,,,,,,,,,,,,,,,,,,,
GRMZM2G140924,-0.447943124,7.100454154,0.024190471,0.133758023,,,,,,,,,,,,,,,,,,,
GRMZM2G176035,1.42117214,0.507276881,0.024208408,0.133824177,,,,,,,,,,,,,,,,,,,
GRMZM2G110398,-0.477650267,4.332327404,0.024221109,0.133861356,,,,,,,,,,,,,,,,,,,
GRMZM2G113156,-0.350180793,6.072880894,0.024232837,0.133881789,,,,,,,,,,,,,,,,,,,
GRMZM2G150107,1.218409534,1.740750932,0.024236757,0.133881789,,,,,,,,,,,,,,,,,,,
GRMZM2G093643,0.584762104,6.865468276,0.024259099,0.133972175,,,,,,,,,,,,,,,,,,,
GRMZM2G131281,1.560806196,0.897634414,0.024288618,0.134102143,,,,,,,,,,,,,,,,,,,
GRMZM2G318213,0.726988778,4.050515433,0.024303834,0.134153091,,,,,,,,,,,,,,,,,,,
GRMZM2G019307,0.471214734,6.661674088,0.024323245,0.134227166,,,,,,,,,,,,,,,,,,,
GRMZM2G087169,1.749353806,0.750670472,0.024355369,0.13434814,,,,,,,,,,,,,,,,,,,
GRMZM2G360347,-1.039523003,0.881489771,0.024357159,0.13434814,,,,,,,,,,,,,,,,,,,
GRMZM2G087146,0.650070815,3.380586851,0.024391807,0.134427579,,,,,,,,,,,,,,,,,,,
GRMZM2G050394,-0.546666126,3.504815185,0.024392706,0.134427579,,,,,,,,,,,,,,,,,,,
GRMZM2G319307,1.332825855,1.825292766,0.024401068,0.134427579,,,,,,,,,,,,,,,,,,,
GRMZM2G053588,-0.935200227,1.496631165,0.024402533,0.134427579,,,,,,,,,,,,,,,,,,,
GRMZM2G704021,-0.96754457,1.158632016,0.024403958,0.134427579,,,,,,,,,,,,,,,,,,,
GRMZM2G159822,1.73881597,2.348443497,0.02440756,0.134427579,,,,,,,,,,,,,,,,,,,
GRMZM2G119744,-0.939388735,2.23215711,0.024434227,0.134541374,,,,,,,,,,,,,,,,,,,
GRMZM2G060647,0.951672636,3.293311395,0.024440877,0.134544924,,,,,,,,,,,,,,,,,,,
GRMZM2G122324,-0.836853429,6.961240237,0.024495661,0.134799547,,,,,,,,,,,,,,,,,,,
GRMZM2G027723,0.808094986,5.801591064,0.024503,0.134799547,,,,,,,,,,,,,,,,,,,
GRMZM2G089822,0.578134449,4.394233274,0.02450518,0.134799547,,,,,,,,,,,,,,,,,,,
GRMZM2G105855,-0.838679063,1.868824015,0.024568925,0.135117025,,,,,,,,,,,,,,,,,,,
GRMZM2G150187,0.732438864,3.480817185,0.024578402,0.135135976,,,,,,,,,,,,,,,,,,,
GRMZM2G040803,0.646395863,4.758729319,0.024615549,0.135307008,,,,,,,,,,,,,,,,,,,
GRMZM2G056975,0.435158602,8.30610385,0.0246343,0.135349667,,,,,,,,,,,,,,,,,,,
GRMZM2G558539,0.353279965,5.890120357,0.024635391,0.135349667,,,,,,,,,,,,,,,,,,,
AC217300.3_FG005,-0.471215817,6.143577895,0.024656794,0.135434046,,,,,,,,,,,,,,,,,,,
AC155434.2_FG001,0.989458548,3.362719593,0.024684281,0.135505316,,,,,,,,,,,,,,,,,,,
GRMZM5G899787,-0.603188571,5.26893419,0.024685233,0.135505316,,,,,,,,,,,,,,,,,,,
GRMZM2G461159,1.582004874,0.580923257,0.024692921,0.135505316,,,,,,,,,,,,,,,,,,,
GRMZM2G084795,0.927476915,1.628311819,0.024698333,0.135505316,,,,,,,,,,,,,,,,,,,
GRMZM2G172652,1.410759087,1.713925222,0.024700009,0.135505316,,,,,,,,,,,,,,,,,,,
GRMZM2G479249,-0.530640963,4.173148259,0.024718899,0.135575748,,,,,,,,,,,,,,,,,,,
GRMZM2G014788,-0.354744928,5.888598988,0.024726731,0.135585516,,,,,,,,,,,,,,,,,,,
GRMZM2G481261,0.608135831,7.89016775,0.02474184,0.135631629,,,,,,,,,,,,,,,,,,,
GRMZM5G885029,0.874292366,1.467114521,0.024747248,0.135631629,,,,,,,,,,,,,,,,,,,
GRMZM2G099483,0.657721694,4.456877752,0.024754064,0.135635807,,,,,,,,,,,,,,,,,,,
GRMZM2G169240,-1.077480643,1.423473698,0.024797314,0.135807514,,,,,,,,,,,,,,,,,,,
GRMZM2G146380,1.492178291,0.754552031,0.024797525,0.135807514,,,,,,,,,,,,,,,,,,,
GRMZM2G063550,-1.479453964,1.919849103,0.024829777,0.135950918,,,,,,,,,,,,,,,,,,,
GRMZM5G848550,-0.756224514,3.976807313,0.024870404,0.136140094,,,,,,,,,,,,,,,,,,,
GRMZM2G130095,-0.3808745,5.418463832,0.024885782,0.136168342,,,,,,,,,,,,,,,,,,,
AC233883.1_FG006,-0.976253626,1.753148698,0.02488772,0.136168342,,,,,,,,,,,,,,,,,,,
GRMZM2G003663,0.527845634,4.092510573,0.024931417,0.136330586,,,,,,,,,,,,,,,,,,,
GRMZM2G029632,0.691087582,2.153853019,0.024934069,0.136330586,,,,,,,,,,,,,,,,,,,
GRMZM2G065888,-1.050190471,1.415510627,0.024936585,0.136330586,,,,,,,,,,,,,,,,,,,
GRMZM2G112488,1.771816017,0.899036886,0.024941713,0.136330586,,,,,,,,,,,,,,,,,,,
GRMZM2G142751,0.729526892,2.94849156,0.024969215,0.136444222,,,,,,,,,,,,,,,,,,,
GRMZM2G108396,-0.70801965,4.76569279,0.024974682,0.136444222,,,,,,,,,,,,,,,,,,,
GRMZM2G141760,0.372089168,6.59283867,0.025003797,0.136569984,,,,,,,,,,,,,,,,,,,
GRMZM2G055217,-0.663644827,2.92342337,0.025019641,0.136623215,,,,,,,,,,,,,,,,,,,
GRMZM2G023585,-0.42768266,4.270561555,0.025028055,0.136627476,,,,,,,,,,,,,,,,,,,
GRMZM2G003725,-0.724005195,2.170927652,0.025032617,0.136627476,,,,,,,,,,,,,,,,,,,
GRMZM2G079471,-0.405743045,4.751400743,0.025063941,0.136742245,,,,,,,,,,,,,,,,,,,
GRMZM2G308189,1.278808914,1.145077499,0.025065851,0.136742245,,,,,,,,,,,,,,,,,,,
GRMZM2G436710,0.533860073,7.200442292,0.025082257,0.136798435,,,,,,,,,,,,,,,,,,,
GRMZM2G024882,-0.39726211,4.537087526,0.025092165,0.136819169,,,,,,,,,,,,,,,,,,,
GRMZM2G021015,0.504936382,4.175641246,0.025121994,0.136948488,,,,,,,,,,,,,,,,,,,
AC209257.4_FG008,-1.09757473,1.779583133,0.025154542,0.137092557,,,,,,,,,,,,,,,,,,,
GRMZM2G029400,0.8408601,1.922291018,0.025177622,0.137184979,,,,,,,,,,,,,,,,,,,
GRMZM2G154010,-0.476566822,4.25903268,0.025186263,0.137198694,,,,,,,,,,,,,,,,,,,
GRMZM2G463580,-1.584113701,0.672157085,0.025199627,0.137238126,,,,,,,,,,,,,,,,,,,
GRMZM2G158740,-0.848299432,2.223376297,0.025220372,0.137317722,,,,,,,,,,,,,,,,,,,
GRMZM2G481069,0.508264248,3.354195768,0.025227915,0.137325422,,,,,,,,,,,,,,,,,,,
GRMZM2G009719,-1.197994364,1.93647456,0.025240495,0.137360526,,,,,,,,,,,,,,,,,,,
GRMZM2G093744,0.418090333,5.275301849,0.025268193,0.137462701,,,,,,,,,,,,,,,,,,,
GRMZM2G133749,-0.633138617,3.195379429,0.02527154,0.137462701,,,,,,,,,,,,,,,,,,,
GRMZM2G165413,-2.42504762,1.171003729,0.025284004,0.137497116,,,,,,,,,,,,,,,,,,,
GRMZM2G092147,0.850433782,2.543834869,0.025299306,0.137546944,,,,,,,,,,,,,,,,,,,
GRMZM2G168679,-0.805818389,2.127508077,0.025366166,0.137837525,,,,,,,,,,,,,,,,,,,
GRMZM2G382717,-0.818042485,1.912097413,0.025368941,0.137837525,,,,,,,,,,,,,,,,,,,
GRMZM2G065804,0.627412601,3.979835091,0.02537121,0.137837525,,,,,,,,,,,,,,,,,,,
GRMZM2G084863,0.414129554,4.519797505,0.025385406,0.137881217,,,,,,,,,,,,,,,,,,,
AC213612.3_FG001,-0.620342309,7.659219762,0.025410109,0.137981942,,,,,,,,,,,,,,,,,,,
GRMZM2G053493,1.457732596,0.664307079,0.02542832,0.138047374,,,,,,,,,,,,,,,,,,,
GRMZM2G031504,-0.85367564,4.607479414,0.025440021,0.138077438,,,,,,,,,,,,,,,,,,,
GRMZM2G151050,-0.397477053,4.508066566,0.025462155,0.138164101,,,,,,,,,,,,,,,,,,,
GRMZM2G152056,-0.488154671,6.075921445,0.025473079,0.138189911,,,,,,,,,,,,,,,,,,,
GRMZM2G341918,-1.158187521,2.110935712,0.025483569,0.138213355,,,,,,,,,,,,,,,,,,,
GRMZM2G070011,1.038340765,5.761161461,0.025526984,0.138415312,,,,,,,,,,,,,,,,,,,
GRMZM2G009928,0.493761693,5.593920094,0.02554073,0.138456342,,,,,,,,,,,,,,,,,,,
GRMZM2G478382,-1.021117508,1.485235442,0.025563746,0.138547588,,,,,,,,,,,,,,,,,,,
GRMZM2G077546,-0.560150482,4.061668036,0.025587452,0.138638409,,,,,,,,,,,,,,,,,,,
GRMZM2G166963,0.576290451,4.178451147,0.025592879,0.138638409,,,,,,,,,,,,,,,,,,,
GRMZM2G032219,0.516320696,6.408065343,0.025611551,0.13870602,,,,,,,,,,,,,,,,,,,
GRMZM2G061732,0.678815422,2.39325868,0.025629218,0.138726614,,,,,,,,,,,,,,,,,,,
GRMZM5G800723,-0.767932706,3.071314186,0.02563019,0.138726614,,,,,,,,,,,,,,,,,,,
GRMZM2G080380,1.000594685,1.240395193,0.025635191,0.138726614,,,,,,,,,,,,,,,,,,,
GRMZM2G004590,0.793488468,2.640189902,0.025640121,0.138726614,,,,,,,,,,,,,,,,,,,
GRMZM2G448104,-0.343563322,5.672750124,0.025650661,0.138750137,,,,,,,,,,,,,,,,,,,
GRMZM2G068316,0.393799334,8.895789909,0.025667098,0.138805536,,,,,,,,,,,,,,,,,,,
GRMZM2G163279,1.372545243,1.206762669,0.025700241,0.138951229,,,,,,,,,,,,,,,,,,,
GRMZM2G337065,2.289255102,0.777598101,0.025744845,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G453415,3.262885822,1.32784862,0.025756999,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G002993,-0.747249606,3.454860589,0.025766836,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G110406,-0.653852843,2.715964233,0.025771164,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G442057,-0.747136107,1.761016174,0.025779451,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G123594,-1.705097386,0.638445366,0.025789679,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G067028,0.763231493,5.060087265,0.025790677,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G112640,0.498441207,4.00071347,0.025795772,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G124835,0.773013666,2.467203127,0.025798831,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G136270,0.49372259,4.570164723,0.02580454,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G065669,0.495238558,3.691160349,0.025805641,0.139151715,,,,,,,,,,,,,,,,,,,
GRMZM2G420436,-0.380091087,7.137973616,0.025814055,0.139163597,,,,,,,,,,,,,,,,,,,
GRMZM2G054032,1.244911015,0.717412123,0.025825357,0.139191034,,,,,,,,,,,,,,,,,,,
GRMZM2G091679,2.51408537,1.112213892,0.025832871,0.139198046,,,,,,,,,,,,,,,,,,,
GRMZM2G117680,-0.668744533,2.706752617,0.025839737,0.139201563,,,,,,,,,,,,,,,,,,,
GRMZM2G057852,-0.981176008,3.273550352,0.025861379,0.139284661,,,,,,,,,,,,,,,,,,,
GRMZM2G498547,2.260298791,0.990715035,0.025872159,0.139309235,,,,,,,,,,,,,,,,,,,
GRMZM2G116584,0.980453077,1.76754811,0.025901504,0.139433734,,,,,,,,,,,,,,,,,,,
GRMZM2G449019,-1.13855023,1.059762148,0.025913004,0.139460954,,,,,,,,,,,,,,,,,,,
GRMZM5G874167,-0.573173763,3.414436802,0.02591901,0.139460954,,,,,,,,,,,,,,,,,,,
GRMZM2G040158,0.412492052,4.478974649,0.025944318,0.139563611,,,,,,,,,,,,,,,,,,,
GRMZM6G107785,-0.551464842,4.895508076,0.02599403,0.139797468,,,,,,,,,,,,,,,,,,,
GRMZM2G032676,1.776171685,1.062959014,0.026019166,0.139837865,,,,,,,,,,,,,,,,,,,
GRMZM2G162702,0.713510202,3.866121612,0.026022736,0.139837865,,,,,,,,,,,,,,,,,,,
GRMZM5G808899,-0.545481088,3.775790372,0.026024655,0.139837865,,,,,,,,,,,,,,,,,,,
GRMZM2G372928,-0.673140872,2.974516332,0.026026507,0.139837865,,,,,,,,,,,,,,,,,,,
GRMZM2G054125,-1.062390648,1.822794367,0.026042308,0.139889216,,,,,,,,,,,,,,,,,,,
GRMZM5G817559,1.197601715,2.513276359,0.02606097,0.139901943,,,,,,,,,,,,,,,,,,,
GRMZM2G487931,1.413779125,1.872046775,0.026061477,0.139901943,,,,,,,,,,,,,,,,,,,
GRMZM5G887999,0.708222361,5.566042015,0.026067093,0.139901943,,,,,,,,,,,,,,,,,,,
GRMZM2G143450,-0.539877642,4.400521318,0.026069655,0.139901943,,,,,,,,,,,,,,,,,,,
GRMZM2G054155,0.776641179,2.142246313,0.02609234,0.139990154,,,,,,,,,,,,,,,,,,,
GRMZM2G361398,-0.466632123,4.086343354,0.026126869,0.140141848,,,,,,,,,,,,,,,,,,,
GRMZM2G171600,-0.481251641,4.110238109,0.026156802,0.140268823,,,,,,,,,,,,,,,,,,,
GRMZM2G334660,1.495317257,1.929988073,0.026168274,0.140296763,,,,,,,,,,,,,,,,,,,
GRMZM2G020940,0.894521048,3.063990412,0.026186669,0.140361799,,,,,,,,,,,,,,,,,,,
GRMZM2G115809,0.64511885,4.156464614,0.026208223,0.140430218,,,,,,,,,,,,,,,,,,,
GRMZM2G011319,0.440196025,6.645788931,0.026211969,0.140430218,,,,,,,,,,,,,,,,,,,
GRMZM2G452630,-0.643905354,3.239674293,0.026219304,0.140435932,,,,,,,,,,,,,,,,,,,
GRMZM2G176595,0.95733828,4.50012423,0.026251364,0.140574046,,,,,,,,,,,,,,,,,,,
GRMZM2G096705,-0.409542492,5.152815026,0.026270659,0.140643755,,,,,,,,,,,,,,,,,,,
GRMZM2G170692,1.117759726,3.42284025,0.026343145,0.140998126,,,,,,,,,,,,,,,,,,,
GRMZM2G069687,-0.429922505,4.491647222,0.026358063,0.14104428,,,,,,,,,,,,,,,,,,,
GRMZM2G306079,0.436699548,4.112341311,0.026377271,0.141113363,,,,,,,,,,,,,,,,,,,
GRMZM2G073954,-0.477552673,7.152996295,0.026412547,0.141268352,,,,,,,,,,,,,,,,,,,
GRMZM2G315199,0.727068636,3.088671052,0.026437339,0.141303921,,,,,,,,,,,,,,,,,,,
GRMZM2G332660,0.920308787,1.672495795,0.026437552,0.141303921,,,,,,,,,,,,,,,,,,,
GRMZM2G087655,1.174210573,2.065344935,0.026438118,0.141303921,,,,,,,,,,,,,,,,,,,
GRMZM2G059939,1.223651706,0.921134061,0.02644736,0.141319604,,,,,,,,,,,,,,,,,,,
GRMZM2G074254,-0.751759414,1.724814286,0.026455598,0.141329918,,,,,,,,,,,,,,,,,,,
GRMZM2G107417,-0.874727963,3.234474884,0.026472106,0.141384396,,,,,,,,,,,,,,,,,,,
GRMZM2G001265,-0.518924984,3.981423062,0.026482506,0.141389612,,,,,,,,,,,,,,,,,,,
GRMZM2G097395,-0.810111194,2.289272131,0.026485704,0.141389612,,,,,,,,,,,,,,,,,,,
AC194965.4_FG004,-0.734889726,3.3917487,0.026493248,0.141396194,,,,,,,,,,,,,,,,,,,
GRMZM2G005732,-0.4200773,7.570079628,0.026518994,0.141499898,,,,,,,,,,,,,,,,,,,
GRMZM2G485444,-0.486728099,3.427516675,0.026543304,0.141595889,,,,,,,,,,,,,,,,,,,
GRMZM2G131404,0.934994041,1.832419569,0.026550304,0.141599513,,,,,,,,,,,,,,,,,,,
GRMZM2G037128,-0.824441745,2.649102858,0.026580153,0.141721874,,,,,,,,,,,,,,,,,,,
GRMZM2G437445,-1.248761843,1.32459504,0.026585898,0.141721874,,,,,,,,,,,,,,,,,,,
GRMZM2G478754,-1.54435967,1.015939476,0.026619001,0.141859306,,,,,,,,,,,,,,,,,,,
GRMZM2G162443,-0.743903429,3.727614974,0.026632339,0.141859306,,,,,,,,,,,,,,,,,,,
GRMZM2G443808,-0.569945089,3.630925544,0.026635897,0.141859306,,,,,,,,,,,,,,,,,,,
GRMZM2G589579,-0.595370709,3.260583855,0.026637005,0.141859306,,,,,,,,,,,,,,,,,,,
GRMZM2G047093,-0.308243367,6.811996093,0.026644754,0.14186685,,,,,,,,,,,,,,,,,,,
GRMZM2G078279,1.448165477,0.939565208,0.026662404,0.141908594,,,,,,,,,,,,,,,,,,,
GRMZM2G475676,-0.842864591,1.539943074,0.026665261,0.141908594,,,,,,,,,,,,,,,,,,,
GRMZM2G161202,0.956090443,4.699457175,0.026710694,0.142050804,,,,,,,,,,,,,,,,,,,
GRMZM2G024145,-0.423637777,6.246863085,0.026712666,0.142050804,,,,,,,,,,,,,,,,,,,
GRMZM2G085469,0.476951994,4.152439061,0.02671283,0.142050804,,,,,,,,,,,,,,,,,,,
GRMZM2G171921,0.400251242,6.192822539,0.026726921,0.142050804,,,,,,,,,,,,,,,,,,,
GRMZM2G074871,-1.070591933,1.89016727,0.026728409,0.142050804,,,,,,,,,,,,,,,,,,,
GRMZM2G165692,0.351841198,5.627399219,0.026730024,0.142050804,,,,,,,,,,,,,,,,,,,
GRMZM2G175273,-1.049414764,1.012614682,0.02675891,0.14217059,,,,,,,,,,,,,,,,,,,
GRMZM2G137971,0.445260225,3.752400512,0.026784062,0.142270484,,,,,,,,,,,,,,,,,,,
GRMZM2G056038,0.36877278,4.579928065,0.026795862,0.142299427,,,,,,,,,,,,,,,,,,,
GRMZM2G162253,-0.852263158,3.789197192,0.026840255,0.142501403,,,,,,,,,,,,,,,,,,,
GRMZM5G817191,-1.001644741,1.716265093,0.026862427,0.142577379,,,,,,,,,,,,,,,,,,,
GRMZM2G137409,0.432332819,8.884055873,0.026867293,0.142577379,,,,,,,,,,,,,,,,,,,
GRMZM5G857881,0.785256826,2.528592883,0.026874934,0.142584156,,,,,,,,,,,,,,,,,,,
GRMZM2G441031,-1.221834491,4.234568019,0.026913274,0.142730528,,,,,,,,,,,,,,,,,,,
GRMZM2G174741,0.417718603,5.725726506,0.026915264,0.142730528,,,,,,,,,,,,,,,,,,,
GRMZM5G815839,0.492629709,3.476617831,0.02694304,0.142791667,,,,,,,,,,,,,,,,,,,
GRMZM2G104396,-0.591634311,3.341853764,0.026951051,0.142791667,,,,,,,,,,,,,,,,,,,
GRMZM2G140874,1.605778804,2.467227198,0.026955875,0.142791667,,,,,,,,,,,,,,,,,,,
GRMZM2G127080,0.822904807,4.142198321,0.026962874,0.142791667,,,,,,,,,,,,,,,,,,,
GRMZM2G350918,-1.389882307,0.371152761,0.026964926,0.142791667,,,,,,,,,,,,,,,,,,,
GRMZM2G397785,-1.592257632,2.439570981,0.026965032,0.142791667,,,,,,,,,,,,,,,,,,,
GRMZM2G020594,-0.573368884,4.08609795,0.026979675,0.142835446,,,,,,,,,,,,,,,,,,,
GRMZM2G020843,-0.592244902,2.767749077,0.02701295,0.142977826,,,,,,,,,,,,,,,,,,,
GRMZM2G013201,0.647272272,3.043843017,0.02704947,0.143137311,,,,,,,,,,,,,,,,,,,
GRMZM2G009412,0.444152442,5.233327953,0.027091307,0.143314354,,,,,,,,,,,,,,,,,,,
GRMZM2G177070,-0.558451854,5.113508081,0.027096887,0.143314354,,,,,,,,,,,,,,,,,,,
GRMZM2G177631,0.916527709,2.757177844,0.027102116,0.143314354,,,,,,,,,,,,,,,,,,,
GRMZM2G090493,-0.633232511,2.851934166,0.027116713,0.143357704,,,,,,,,,,,,,,,,,,,
GRMZM2G389567,1.054138424,2.159641283,0.027152245,0.143511688,,,,,,,,,,,,,,,,,,,
GRMZM2G119740,0.474710391,4.336611428,0.027161076,0.143524504,,,,,,,,,,,,,,,,,,,
GRMZM2G459642,-0.3402448,4.785363641,0.027173209,0.143554761,,,,,,,,,,,,,,,,,,,
GRMZM2G148052,-1.081925995,4.001749084,0.027185593,0.14358633,,,,,,,,,,,,,,,,,,,
GRMZM2G087081,0.450568252,6.860173025,0.027196661,0.143596733,,,,,,,,,,,,,,,,,,,
GRMZM2G432796,-0.62302463,3.822279913,0.027204718,0.143596733,,,,,,,,,,,,,,,,,,,
GRMZM2G466281,-0.437201266,6.643139459,0.02720679,0.143596733,,,,,,,,,,,,,,,,,,,
GRMZM2G040300,0.575720794,4.570366157,0.027237073,0.143722709,,,,,,,,,,,,,,,,,,,
GRMZM2G143883,-0.845573181,3.33987078,0.027251235,0.143745646,,,,,,,,,,,,,,,,,,,
GRMZM2G112198,2.111410303,0.630611925,0.027254251,0.143745646,,,,,,,,,,,,,,,,,,,
GRMZM2G078806,0.712712924,5.02544267,0.02726609,0.143774239,,,,,,,,,,,,,,,,,,,
GRMZM2G121960,-0.383377443,7.851853765,0.0272939,0.143887017,,,,,,,,,,,,,,,,,,,
GRMZM2G058138,0.358623117,5.255929245,0.027306356,0.143898167,,,,,,,,,,,,,,,,,,,
